"ID","성별","연령","거주지역"
"0478207946","1","84","서울 성동구"
"0479806984","1","84","서울 서초구"
"0094790213","1","84","부산 사상구"
"0656026338","1","84","서울 영등포구"
"0433076833","1","83","경기 고양시"
"0867549189","1","83","서울 동작구"
"0436306211","2","83","경기 안양시"
"0670304024","1","82","서울 송파구"
"0623668388","1","82","서울 송파구"
"0306915014","2","82","서울 양천구"
"0551136973","1","82","경기 성남시"
"0168381266","1","81","경기 남양주시"
"0278285231","1","81","서울 성북구"
"0887556868","2","81","서울 관악구"
"0492244617","2","81","서울 양천구"
"0236066690","1","81","서울 송파구"
"0474763658","1","81","부산 북구"
"0536617656","2","80","경기 성남시"
"0787176413","2","80","부산 수영구"
"0914115041","1","80","경기 고양시"
"0510195294","2","80","서울 노원구"
"0551449804","2","80","경기 구리시"
"0745055983","2","80","서울 영등포구"
"0089988341","1","80","경기 남양주시"
"0047655351","2","79","부산 동래구"
"0642184311","2","79","서울 송파구"
"0685627362","1","79","경기 구리시"
"0887687760","1","79","서울 강남구"
"0485721733","1","79","서울 동대문구"
"0701411064","2","79","서울 동대문구"
"0961035519","2","79","경기 성남시"
"0323958548","2","79","경기 성남시"
"0921118696","1","79","서울 송파구"
"0448187517","2","79","서울 강남구"
"0386842867","2","78","경기 용인시"
"0639506094","2","78","경기 고양시"
"0068651557","1","78","서울 노원구"
"0524543959","2","78","부산 부산진구"
"0588288453","1","78","부산 해운대구"
"0763968202","2","78","경기 안양시"
"0603084379","2","78","서울 송파구"
"0360312442","2","77","서울 양천구"
"0033088068","2","77","경기 고양시"
"0451448988","2","77","서울 노원구"
"0803063364","1","77","부산 사하구"
"0644403176","1","77","경기 안산시"
"0551974337","1","77","서울 서초구"
"0131205778","1","77","서울 송파구"
"0672015868","1","77","부산 수영구"
"0113694152","2","77","경기 양주시"
"0110041339","2","77","서울 강서구"
"0257364199","1","77","경기 안양시"
"0983250333","1","77","부산 수영구"
"0709863345","1","77","경기 안양시"
"0912663751","2","77","서울 강남구"
"0625313183","1","76","경기 남양주시"
"0069346353","2","76","경기 안양시"
"0386048461","2","76","경기 고양시"
"0316163208","1","76","부산 해운대구"
"0828815057","1","76","서울 강남구"
"0885165857","1","76","경기 파주시"
"0712231081","2","76","경기 고양시"
"0946678831","2","76","서울 동작구"
"0242409444","2","75","경기 양평군"
"0307677989","2","75","경기 성남시"
"0794506191","2","75","서울 마포구"
"0396407220","2","75","경기 고양시"
"0767844671","1","75","서울 강남구"
"0297847400","1","75","경기 안양시"
"0489452675","2","75","경기 성남시"
"0761561936","1","75","서울 강남구"
"0730743109","2","75","서울 서초구"
"0594126552","2","75","서울 동대문구"
"0473345496","2","75","경기 파주시"
"0799674249","1","75","경기 용인시"
"0213340432","1","75","경기 성남시"
"0215253732","2","75","서울 강남구"
"0418139257","2","75","경기 안양시"
"0717747513","2","75","경기 고양시"
"0040012235","2","75","경기 고양시"
"0249387503","2","75","부산 수영구"
"0545890179","1","75","서울 노원구"
"0039020017","2","74","경기 하남시"
"0146782206","2","74","경기 성남시"
"0258836039","1","74","서울 강서구"
"0706604073","1","74","부산 해운대구"
"0594366683","1","74","경기 양평군"
"0268994865","2","74","경기 안양시"
"0185410870","1","74","서울 송파구"
"0535754994","2","74","서울 노원구"
"0221241742","1","74","경기 고양시"
"0046361003","2","74","서울 송파구"
"0616138983","1","74","서울 서초구"
"0990784921","2","74","서울 서초구"
"0958646064","2","74","경기 고양시"
"0236694308","2","74","경기 부천시"
"0666864604","2","74","부산 수영구"
"0909936004","2","74","서울 금천구"
"0941898681","2","74","부산 해운대구"
"0556535295","2","74","서울 서초구"
"0032785203","1","73","서울 용산구"
"0481245521","2","73","부산 해운대구"
"0820433253","2","73","서울 은평구"
"0184450165","1","73","서울 영등포구"
"0677721951","2","73","경기 양주시"
